0 0     25.24750468037781 64.551431028681 
8 3     75.28000824094713 315.1848787206661 
8 4     75.01765473677824 415.17133915911575 
8 5     210.08875361813745 15.426397390266798 
8 6     209.9274957711352 115.18859637932249 
8 7     210.37898989802173 214.9796706803635 
8 8     210.36937848684948 315.26943516171644 
8 9     209.8936623173109 414.4808426639096 
8 10     345.21503381813335 15.085217319431568 
8 11     344.95363982737445 114.98696060428627 
8 12     344.9639363148221 215.35086620129434 
8 13     344.8771100237875 315.30705325833424 
8 14     345.0506098304248 414.78637806746156 
8 15     479.5822948416068 14.776017356071431 
8 16     479.9104914960319 115.05559878312272 
8 17     480.17960216409654 215.10430126397748 
8 18     480.2860144332855 314.8361360878982 
8 19     479.94944409969276 415.1438190307633 
8 20     615.0209479764552 15.299940048826048 
8 21     614.8875121751539 114.79822565790953 
8 22     614.8416860929597 215.17177956846638 
8 23     614.9507685466168 315.08017617955716 
8 24     614.923160614671 414.72168875674083 
0.002558261185593384 
-0.0012217112823889652 
-0.0020830917155371022 
-0.0981601552872319 
0.09752173027436982 
-0.0026937082119124407 
500 
0 
0 
-3.3555982024873664e-05 
-0.0009687580657509186 
-0.003037314265350325 
0.0012744800907918978 
0.10194645350800631 
0.00047416151176385294 
500 
0 
0 
0.00148228267802519 
-0.0013594720297252117 
-0.00010646629853553113 
0.09973882455321631 
0.09768135821476884 
0.00213321521693539 
500 
0 
0 
0.0024006849374708893 
0.000273907099392166 
0.0010891228171256528 
-0.09916764085047944 
0.0017596954500143504 
0.0003651030585678819 
500 
0 
0 
0.0032201576067050477 
0.0007784264624380989 
-0.0019524896391258449 
0.0 
0.0 
0.0 
500 
0 
0 
-0.0003299023410795597 
0.002157322308780414 
-0.00273380292272033 
0.09722976058038704 
0.0002887243198743656 
-0.0005377745837588292 
500 
0 
0 
-0.002781785435461928 
0.004890766142593955 
-0.002166563402823302 
-0.09840837665140541 
-0.10126288467448162 
-0.0007970233491978423 
500 
0 
0 
0.0015305317668849994 
1.6548760276013615e-05 
0.0022521605218406653 
-0.09745382532959083 
-0.0034494872592253506 
0.0018298773479706778 
500 
0 
0 
0.0006026409746186956 
-0.0009535009495849184 
0.0024773905497239147 
0.09890521961523005 
-0.10278065651114435 
-0.0007873446518800116 
500 
0 
0 
0.22649155887903877 
0.15091265442946203 
1.9911290689613224 
0.19648186394464964 
0.5251569428085003 
1.9789610231013108 
0.2237451752991934 
0.9632653771963837 
1.9735391692701518 
0.20104258431144925 
1.3388114150751464 
2.009472742751904 
0.19986231852662406 
1.7901496390088385 
1.9949201436319133 
0.7350325698208957 
0.1701788525608174 
2.0201646264968787 
0.7450748705434044 
0.5733444651265845 
1.9960176157826843 
0.7624912596332613 
0.9916624255786689 
2.016802632675941 
0.7214058495411625 
1.36904366830135 
2.0203368018057906 
0.7605064243273743 
1.7567992137164585 
1.9841472341634274 
1.2568945178016402 
0.1650794124316896 
1.9994708303387674 
1.3141760368791966 
0.5942847736554523 
2.0022695570031277 
1.2769981355048032 
0.9695989972405809 
1.9942627479059285 
1.271929862041684 
1.3519846394234638 
1.995591031824762 
1.2378831734814686 
1.762566721482339 
1.9970770304288754 
1.8141525791611084 
0.1824027359865605 
2.0044840286752716 
1.84893136800659 
0.5629128919375705 
1.9936935774103186 
1.8441441516691117 
0.9268443037704415 
1.9821497286383787 
1.8183425763485428 
1.3615588579762372 
1.9934570798571971 
1.7922097131570518 
1.7716324702688357 
1.9656135387361748 
2.3824387461155814 
0.20543901107750404 
1.9606532743474474 
2.323889545404484 
0.5616951099727956 
2.0220782633979084 
2.3544165862833446 
0.9822099583152322 
1.9978830732074808 
2.333615256097097 
1.3599184772082258 
2.004531964728566 
2.3514307569239445 
1.7712689636570011 
2.015510489842163 
